Company Name,Address,Status
 Exceal Gasket Private Limited ,"Kanchipuram, Tamil Nadu, India",ACTIVE
 Udupi Sanjeevini Mahila Kisan Producer Company Limited ,"Udupi, Karnataka, India",ACTIVE
 Unp Consultancy And Training (Opc) Private Limited ,"Vadodara, Gujarat, India",ACTIVE
 Vaa Autogarages Private Limited ,"Jammu, Jammu & Kashmir, India",ACTIVE
 Rosera Jeevika Mahila Kisan Producer Company Limited ,"Samastipur, Bihar, India",ACTIVE
 Krishaksamprasaran Farmers Producer Company Limited ,"East Midnapore, West Bengal, India",ACTIVE
 Parappuram Geo Technical Engineers Private Limited ,"Kannur, Kerala, India",ACTIVE
 Pocket Saver Grooming Services Private Limited ,"Chennai, Tamil Nadu, India",ACTIVE
 Ahavaa Seniorcare Living Private Limited ,"Chennai, Tamil Nadu, India",ACTIVE
 Terraforms Builders Private Limited ,"Ghaziabad, Uttar Pradesh, India",ACTIVE
 Aditi Rudra Wealth Bridge Private Limited ,"Bangalore, Karnataka, India",ACTIVE
 Buymote E-Commerce Private Limited ,"Kanchipuram, Tamil Nadu, India",ACTIVE
 Simh Medical Laser Engineers Private Limited ,"Ghaziabad, Uttar Pradesh, India",ACTIVE
 Kaziorganics (Opc) Private Limited ,"Mumbai, Maharashtra, India",ACTIVE
 Nagpur Sol Ppl Serving Foundation ,"Nagpur, Maharashtra, India",ACTIVE
 Masters Of Miracles Foundation ,"East Delhi, Delhi, India",ACTIVE
 Iacom Foods Private Limited ,"Kanyakumari, Tamil Nadu, India",ACTIVE
 Venturegoal Overseas Private Limited ,"Ghaziabad, Uttar Pradesh, India",ACTIVE
 Efficacy Interiors & Home Accessories (Opc) Private Limited ,"Hyderabad, Telangana, India",ACTIVE
 R And K Northeast Private Limited ,"Papum Pare, Arunachal Pradesh, India",ACTIVE
 Grsav Industry Private Limited ,"North West Delhi, Delhi, India",ACTIVE
 Two R Technology Services Private Limited ,"Jaipur, Rajasthan, India",ACTIVE
 Red Vanda Apparels Private Limited ,"South West Delhi, Delhi, India",ACTIVE
 Bharatichalam Farmers Producer Company Limited ,"West Godavari, Andhra Pradesh, India",ACTIVE
 Glerma Pharmaceutical Private Limited ,"Varanasi, Uttar Pradesh, India",ACTIVE
 Tribal Roots Empowerment Foundation ,"West Godavari, Andhra Pradesh, India",ACTIVE
 Viharico Exim Private Limited ,"Nagpur, Maharashtra, India",ACTIVE
 Dang Agro Organics Private Limited ,"West Delhi, Delhi, India",ACTIVE
 Agastya Fabricators Private Limited ,"Thane, Maharashtra, India",ACTIVE
 Jp Reddy Mines And Minerals Private Limited ,"Hyderabad, Telangana, India",ACTIVE
 Hydrationco Private Limited ,"South Delhi, Delhi, India",ACTIVE
 Gohil Lubricants Private Limited ,"Bharuch, Gujarat, India",ACTIVE
 Baka Retail Private Limited ,"Hyderabad, Telangana, India",ACTIVE
 Varna Leasing Private Limited ,"South West Delhi, Delhi, India",ACTIVE
 Iris Renewables Alpha One Private Limited ,"New Delhi, Delhi, India",ACTIVE
 Harmony Haven Foundation ,"Nainital, Uttarakhand, India",ACTIVE
 Plantoscape Garden Design Private Limited ,"Varanasi, Uttar Pradesh, India",ACTIVE
 Metacognize Labs Private Limited ,"Hyderabad, Telangana, India",ACTIVE
 Mahalaxmi Epr Solutions Private Limited ,"Pune, Maharashtra, India",ACTIVE
 Samnayan Hospitality Services Private Limited ,"Chittoor, Andhra Pradesh, India",ACTIVE
 Vinra Test House (Opc) Private Limited ,"Guntur, Andhra Pradesh, India",ACTIVE
 Sai Anant Ashirvad Private Limited ,"Muzaffarpur, Bihar, India",ACTIVE
